   M        P    r       P'   r'
   1  0.99399    8  0.50503    8
   2  0.98527    8  0.49935    8
   3  0.97089    8  0.49376    8
   4  0.96189    8  0.48782    8
   5  0.95186    9  0.48239    9
   6  0.93956    9  0.47446    9
   7  0.92332    9  0.46532    9
   8  0.89931    9  0.45252    9
   9  0.87952    9  0.44186    9
  10  0.85213    9  0.42770    9
  11  0.83002    9  0.41618    9
  12  0.80578   10  0.40305    9
  13  0.77904   10  0.38737   10
  14  0.76332   10  0.37913   10
  15  0.74616   10  0.37018   10
  16  0.70611   10  0.34978   10
  18  0.68224   10  0.33748   10
  19  0.65593   10  0.32409   10
  20  0.62716   10  0.30964   10
  22  0.59573   11  0.29311   10
  24  0.56334   11  0.27526   10
  26  0.52658   11  0.25615   11
  29  0.48517   11  0.23561   11
  32  0.44241   12  0.21268   11
  37  0.39440   12  0.18730   11
  43  0.34048   13  0.16080   12
  52  0.28646   14  0.13207   12
  64  0.22434   14  0.10144   12
  86  0.04695    2  0.02961    2
 128  0.03381    1  0.01768    2
 256  0.02096    1  0.00905    1
